goos: windows
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm/runtime
cpu: 11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   58185	     19646 ns/op	       156.0 nominalGas/op	    7655 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   54409	     19273 ns/op	       156.0 nominalGas/op	    7655 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   59160	     20811 ns/op	       156.0 nominalGas/op	    7655 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   61360	     19691 ns/op	       156.0 nominalGas/op	    7654 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   61834	     20125 ns/op	       156.0 nominalGas/op	    7655 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   57475	     22791 ns/op	       156.0 nominalGas/op	    7654 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   58123	     38037 ns/op	       156.0 nominalGas/op	    7654 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   45567	     23278 ns/op	       156.0 nominalGas/op	    7655 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   49509	     24923 ns/op	       156.0 nominalGas/op	    7655 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/Sha256/scalar_256-16                   	   49630	     40398 ns/op	       156.0 nominalGas/op	    7655 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   31696	     37414 ns/op	      1080 nominalGas/op	    7132 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   33480	     33428 ns/op	      1080 nominalGas/op	    7134 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   33858	     33756 ns/op	      1080 nominalGas/op	    7134 B/op	      74 allocs/op
BenchmarkBytecodePrecompile/RipeMd/scalar_128-16                   	   34592	     33325 ns/op	      1080 nominalGas/op	    7133 B/op	      74 allocs/op
