goos: linux
goarch: amd64
pkg: github.com/ethereum/go-ethereum/core/vm
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-6         	   16938	     67639 ns/op	     30310 gas/op	   14020 B/op	      45 allocs/op
BenchmarkPrecompiledModExp/nagydani-3-pow0x10001-Gas=30310-6         	   17967	     67620 ns/op	     30310 gas/op	   14020 B/op	      45 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-6              	   92104	     13355 ns/op	      5580 gas/op	    6178 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-6              	   90698	     13088 ns/op	      5580 gas/op	    6177 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-6              	   92766	     13249 ns/op	      5580 gas/op	    6177 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-6              	   92546	     13371 ns/op	      5580 gas/op	    6178 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-6              	   90702	     13359 ns/op	      5580 gas/op	    6178 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-6              	   86115	     13483 ns/op	      5580 gas/op	    6178 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-6              	   91736	     13546 ns/op	      5580 gas/op	    6178 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-6              	   90982	     13964 ns/op	      5580 gas/op	    6178 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-6              	   89781	     13256 ns/op	      5580 gas/op	    6178 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-square-Gas=5580-6              	   90922	     13275 ns/op	      5580 gas/op	    6178 B/op	      26 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-qube-Gas=5580-6                	   40808	     28865 ns/op	      5580 gas/op	   13220 B/op	      28 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-qube-Gas=5580-6                	   41163	     28936 ns/op	      5580 gas/op	   13220 B/op	      28 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-qube-Gas=5580-6                	   42034	     28377 ns/op	      5580 gas/op	   13220 B/op	      28 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-qube-Gas=5580-6                	   42865	     28354 ns/op	      5580 gas/op	   13220 B/op	      28 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-qube-Gas=5580-6                	   42712	     28101 ns/op	      5580 gas/op	   13220 B/op	      28 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-qube-Gas=5580-6                	   42568	     28445 ns/op	      5580 gas/op	   13220 B/op	      28 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-qube-Gas=5580-6                	   40783	     29619 ns/op	      5580 gas/op	   13220 B/op	      28 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-qube-Gas=5580-6                	   41193	     28533 ns/op	      5580 gas/op	   13220 B/op	      28 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-qube-Gas=5580-6                	   42674	     29184 ns/op	      5580 gas/op	   13220 B/op	      28 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-qube-Gas=5580-6                	   42526	     28214 ns/op	      5580 gas/op	   13220 B/op	      28 allocs/op
BenchmarkPrecompiledModExp/nagydani-4-pow0x10001-Gas=89292-6         	    6456	    186244 ns/op	     89292 gas/op	   32041 B/op	      46 allocs/op
